ticker
GE
AMD
CHK
BAC
F
NIO
T
VXX
AAPL
SNAP
MU
NOK
MSFT
ABEV
SIRI
VALE
PFE
INTC
ACB
FCX
CSCO
WFC
SWN
CZR
ITUB
TVIX
CMCSA
TEVA
RIG
ZNGA
PBR
FB
PCG
BMY
BABA
TWTR
ROKU
GOLD
AUY
NLY
C
JD
BBD
FCEL
KMI
QCOM
CTL
ORCL
KO
VZ
